"filename", "language", "JSON", "JSON with Comments", "Markdown", "JavaScript", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\DELL\Desktop\GlowInside\Components\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 1, 5, 55
"c:\Users\DELL\Desktop\GlowInside\README.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 0, 20, 51
"c:\Users\DELL\Desktop\GlowInside\Theme\Theme.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 1, 3, 22
"c:\Users\DELL\Desktop\GlowInside\Theme\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 1, 7, 25
"c:\Users\DELL\Desktop\GlowInside\app.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\DELL\Desktop\GlowInside\app\(tabs)\Explore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"c:\Users\DELL\Desktop\GlowInside\app\(tabs)\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\DELL\Desktop\GlowInside\app\(tabs)\QuotesScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 6, 61
"c:\Users\DELL\Desktop\GlowInside\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 262, 0, 44, 22, 328
"c:\Users\DELL\Desktop\GlowInside\app\AuthScreens\Login\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 217, 0, 0, 14, 231
"c:\Users\DELL\Desktop\GlowInside\app\AuthScreens\Register\Mood.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 179, 0, 0, 16, 195
"c:\Users\DELL\Desktop\GlowInside\app\AuthScreens\Register\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 199, 0, 1, 12, 212
"c:\Users\DELL\Desktop\GlowInside\app\AuthScreens\Register\Register2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 261, 0, 1, 18, 280
"c:\Users\DELL\Desktop\GlowInside\app\AuthScreens\Register\Register3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 203, 0, 2, 14, 219
"c:\Users\DELL\Desktop\GlowInside\app\AuthScreens\Register\Tailor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 232, 0, 0, 11, 243
"c:\Users\DELL\Desktop\GlowInside\app\Navigation\StackNavigator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 8, 78
"c:\Users\DELL\Desktop\GlowInside\app\Navigation\TabNavigator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 4, 106
"c:\Users\DELL\Desktop\GlowInside\app\SplashScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\DELL\Desktop\GlowInside\app\Store.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\DELL\Desktop\GlowInside\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 7, 66
"c:\Users\DELL\Desktop\GlowInside\assets\images\CardFace.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\DELL\Desktop\GlowInside\assets\images\Emojis\Anxious.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\DELL\Desktop\GlowInside\assets\images\Emojis\Down.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\DELL\Desktop\GlowInside\assets\images\Emojis\Fire.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\DELL\Desktop\GlowInside\assets\images\Emojis\Great.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\DELL\Desktop\GlowInside\assets\images\Emojis\Smiley.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\DELL\Desktop\GlowInside\assets\images\Emojis\Tired.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\DELL\Desktop\GlowInside\assets\images\Lightbulb.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\DELL\Desktop\GlowInside\assets\images\Meditate.svg", "XML", 0, 0, 0, 0, 0, 0, 47, 0, 1, 48
"c:\Users\DELL\Desktop\GlowInside\assets\images\RegisterIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 60, 0, 1, 61
"c:\Users\DELL\Desktop\GlowInside\assets\images\Success.svg", "XML", 0, 0, 0, 0, 0, 0, 63, 0, 1, 64
"c:\Users\DELL\Desktop\GlowInside\assets\images\TabbarIcons\ExploreIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\DELL\Desktop\GlowInside\assets\images\TabbarIcons\HomeIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\DELL\Desktop\GlowInside\assets\images\TabbarIcons\ProfileIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\DELL\Desktop\GlowInside\declarations.d.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\DELL\Desktop\GlowInside\eas.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\DELL\Desktop\GlowInside\eslint.config.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 1, 2, 11
"c:\Users\DELL\Desktop\GlowInside\metro.config.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 5, 15
"c:\Users\DELL\Desktop\GlowInside\package-lock.json", "JSON", 13829, 0, 0, 0, 0, 0, 0, 0, 1, 13830
"c:\Users\DELL\Desktop\GlowInside\package.json", "JSON", 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\DELL\Desktop\GlowInside\tsconfig.json", "JSON with Comments", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 13959, 17, 31, 18, 24, 1986, 271, 52, 211, 16569
